"LKNTS_NM","DGNSS_ENGN_NM","OCCRRNC_LVSTCKCNT","LVSTCKSPC_NM","OCCRRNC_DE","FARM_LOCPLC"
"결핵병","전남 축산기술연구소",1,"소-젖소",2003-06-27,"전라남도 영광군 대마면 남산리"
"브루셀라병","전남 축산기술연구소",1,"소-젖소",2003-04-04,"전라남도 나주시 봉황면 장성리"
"결핵병","통합지소",4,"소-육우",2003-04-04,"충청남도 당진군 신평면 신흥리"
"가금티프스","충북 북부지소",5000,"닭-육계",2003-02-12,"충청북도 충주시 금가면 매하리"
"결핵병","통합지소",5,"소-육우",2003-02-07,"충청남도 당진군 합덕읍"
"돼지생식기호흡기증후군","전남 축산기술연구소",40,"돼지-육성돈",2003-02-25,"전라남도 순천시 서면"
"가금티프스","충북 북부지소",23000,"닭-육계",2003-02-14,"충청북도 괴산군 감물면 광전리"
"가금티프스","충북 북부지소",10000,"닭-육계",2003-04-04,"충청북도 충주시 신니면 문락리"
"결핵병","통합지소",25,"소-육우",2003-03-12,"충청남도 당진군 신평면 부수리"
"뉴캣슬병","전남 축산기술연구소",7900,"닭-육계",2003-03-07,"전라남도 곡성군 곡성읍"
"가금티프스","충북 북부지소",1000,"닭-육계",2003-04-11,"충청북도 음성군 원남면 보천리"
"브루셀라병","충남 공주지소",2,"소-육우",2003-01-15,"충청남도 연기군 남면 고정리"
"결핵병","통합지소",1,"소-육우",2003-04-10,"충청남도 당진군 송악읍 석포리"
"가금티프스","전남 축산기술연구소",26000,"닭-육계",2003-03-07,"전라남도 함평군 손불면 학산리"
"결핵병","통합지소",4,"소-육우",2003-04-10,"충청남도 당진군 송악읍 오곡리"
"결핵병","통합지소",9,"소-육우",2003-04-10,"충청남도 당진군 송악읍 고대리"
"브루셀라병","충남 공주지소",3,"소-육우",2003-03-07,"세종특별자치시  연서면 기룡리"
"가금티프스","전남 축산기술연구소",23800,"닭-육계",2003-03-07,"전라남도 나주시 봉황면 장성리"
"결핵병","통합지소",5,"소-육우",2003-04-17,"충청남도 태안군 근흥면 두야리"
"결핵병","통합지소",2,"소-육우",2003-04-17,"충청남도 태안군 근흥면 두야리"
"가금티프스","전남 축산기술연구소",24700,"닭-육계",2003-03-13,"전라남도 함평군 손불면 학산리"
"돼지열병","경기 동부지소",11,"돼지",2003-04-12,"경기도 이천시 율면 고당리"
"결핵병","통합지소",1,"소-육우",2003-06-19,"충청남도 태안군 태안읍 평천리"
"브루셀라병","충남 공주지소",3,"소-육우",2003-01-06,"충청남도 공주시 장기면 평기리"
"결핵병","통합지소",1,"소-육우",2003-06-26,"충청남도 서산시 인지면 모월리"
"가금티프스","충남 부여지소",2300,"닭-육계",2003-02-24,"충청남도 논산시 성동면 원남리"
"결핵병","충북 남부지소",1,"소-젖소",2003-02-28,"충청북도 옥천군 옥천읍"
"뉴캣슬병","조류질병과",16400,"닭-육계",2003-02-20,"충청남도 당진군 합덕읍"
"뉴캣슬병","충남 부여지소",27930,"닭-육계",2003-03-05,"충청남도 논산시 연무읍 마전리"
"뉴캣슬병","경기 동부지소",4000,"닭",2003-05-09,"경기도 이천시 호법면 단천리"
"결핵병","충북 남부지소",3,"소-젖소",2003-02-28,"충청북도 옥천군 동이면 평산리"
"결핵병","경기 동부지소",4,"소-육우",2003-01-17,"경기도 여주시 가남읍 본두리"
"브루셀라병","충남 공주지소",16,"소-육우",2003-02-18,"세종특별자치시  연서면 기룡리"
"가금티프스","충남 부여지소",10000,"닭-육계",2003-04-01,"충청남도 논산시 가야곡면 목곡리"
"결핵병","충북 남부지소",2,"소-젖소",2003-05-16,"충청북도 영동군 매곡면 어촌리"
"결핵병","경기 동부지소",1,"소-육우",2003-02-19,"경기도 여주시 흥천면 복대리"
